# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 162216, Nsubhalos_Total = 172024
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.72435 -0.94196 -0.54250     1093
 9.00000 -0.47014 -0.65776 -0.31228      885
 9.33333 -0.26998 -0.48131 -0.09005      711
 9.66667 -0.01964 -0.28885  0.16358      463
10.00000  0.17708 -0.12110  0.39953      327
10.33333  0.53750  0.22685  0.77904      198
10.66667  0.91807  0.50780  1.14776      129
11.00000  1.34703  1.03652  1.50848       88
11.33333  1.68022  1.32897  1.80512       38
11.66667  1.78710  1.49531  2.00958       22
12.00000  2.09770  1.07751  2.19963        6
12.33333      nan      nan      nan        0
