# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 4048, Nsubhalos_Total = 4979
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.44316 -1.02065 -0.11151      239
 9.00000  0.03811 -0.41089  0.20726      138
 9.33333  0.44831  0.24299  0.69216       74
 9.66667  0.73040  0.55420  0.84132       55
10.00000  1.04913  0.92342  1.17455       47
10.33333  1.25107  1.09543  1.38075       28
10.66667  1.48762  1.40532  1.64540       21
11.00000  1.69679  1.51028  1.76169       14
11.33333  2.00433  1.95200  2.09890        5
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
