# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 187217, Nsubhalos_Total = 207534
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.23493 -0.40090 -0.07414     1313
 9.00000  0.05551 -0.09893  0.20015     1131
 9.33333  0.29684  0.11132  0.46471      885
 9.66667  0.57044  0.39577  0.73738      640
10.00000  0.82462  0.51117  0.99731      486
10.33333  1.07951  0.42615  1.26851      323
10.66667  1.33307  0.48713  1.54121      164
11.00000  1.39659  0.59972  1.80811       69
11.33333  1.50894  0.87754  1.94387       30
11.66667  1.20693  0.85345  1.56041        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
