# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 173489, Nsubhalos_Total = 177517
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -1.00071 -1.32449 -0.74013     7659
 9.00000 -0.79620 -1.03943 -0.58243    11012
 9.33333 -0.63195 -0.85692 -0.43371    10948
 9.66667 -0.40997 -0.64353 -0.21695     4591
10.00000 -0.21068 -0.50361 -0.00734     1845
10.33333 -0.02887 -0.35421  0.20391      694
10.66667  0.09510 -0.22037  0.37306      178
11.00000  0.18474  0.01750  0.57611       42
11.33333  0.55662  0.39629  0.66889       18
11.66667  0.64522  0.63899  0.65145        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
