# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 162671, Nsubhalos_Total = 134965
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.97974 -1.32768 -0.60158      122
 9.00000 -0.75095 -1.14550 -0.41470       91
 9.33333 -0.55107 -1.16320 -0.19558       67
 9.66667 -0.25927 -0.79462  0.12954       77
10.00000 -0.20158 -0.76326  0.25716       48
10.33333  0.24642 -0.31635  0.65444       38
10.66667  0.39834  0.10757  1.32128       13
11.00000  1.50357  0.62135  1.78551        5
11.33333  2.03484  1.48966  2.36361        4
11.66667  2.06855  1.98026  2.15684        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
