# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 146752, Nsubhalos_Total = 166451
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.95711 -1.19220 -0.71359     7800
 9.00000 -0.65898 -0.90333 -0.43576     9061
 9.33333 -0.38605 -0.63542 -0.18770     8545
 9.66667 -0.12274 -0.38867  0.06498     4308
10.00000  0.10442 -0.24352  0.29173     1867
10.33333  0.32492 -0.19538  0.52653      554
10.66667  0.25251 -0.19497  0.66921      113
11.00000  0.01520 -0.11279  0.17540       10
11.33333      nan      nan      nan        0
11.66667  0.59814  0.54912  0.64716        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
