# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 191613, Nsubhalos_Total = 209117
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.35330 -0.61282 -0.14494     1244
 9.00000  0.07188 -0.09525  0.23904      747
 9.33333  0.34843  0.20464  0.50699      531
 9.66667  0.59008  0.42625  0.74486      430
10.00000  0.79029  0.52738  0.96726      377
10.33333  0.84311  0.11044  1.15516      238
10.66667  0.57665 -0.12464  1.06101       96
11.00000  0.65859  0.28353  1.11130       36
11.33333  0.95818  0.65438  1.31005        9
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
