# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 172669, Nsubhalos_Total = 159801
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.34806 -0.79603 -0.09662      130
 9.00000 -0.12426 -0.45814  0.10674      123
 9.33333  0.13600 -0.14970  0.39619      117
 9.66667  0.18013 -0.37927  0.47951      111
10.00000  0.38545 -0.23164  0.68474       77
10.33333  0.54451 -0.00932  0.78302       39
10.66667  0.65830  0.39259  0.99603       13
11.00000  0.64170  0.46984  1.10910        7
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
