# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 172487, Nsubhalos_Total = 203885
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.38604 -0.56459 -0.21554    15400
 9.00000 -0.11931 -0.34132  0.04347    13757
 9.33333  0.13012 -0.54467  0.30551     7668
 9.66667  0.38835 -0.44786  0.56154     4086
10.00000  0.59259 -0.31129  0.79653     2130
10.33333  0.53662 -0.13042  1.01919      815
10.66667  0.40399 -0.01906  0.87826      253
11.00000  0.57953  0.18690  1.05995       77
11.33333  0.93421  0.80060  1.27021       22
11.66667  1.39165  1.21922  1.47381        4
12.00000  1.07027  1.07027  1.07027        1
12.33333      nan      nan      nan        0
