# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 200568, Nsubhalos_Total = 237765
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.02706 -0.19800  0.13097    14834
 9.00000  0.19738 -0.07009  0.40329     9688
 9.33333  0.55344  0.24702  0.72191     4643
 9.66667  0.85344  0.60125  1.01977     2769
10.00000  1.10866  0.69032  1.26834     1449
10.33333  1.34707  0.55913  1.52862      647
10.66667  1.41674  0.64184  1.73591      186
11.00000  1.52563  1.03035  1.94478       47
11.33333  1.51826  1.09225  2.00963        4
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
