# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 162469, Nsubhalos_Total = 172237
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.72922 -0.97058 -0.53116     1161
 9.00000 -0.46211 -0.66272 -0.29460      942
 9.33333 -0.22571 -0.40554 -0.03771      671
 9.66667  0.04193 -0.17574  0.23875      489
10.00000  0.25971  0.05008  0.51048      324
10.33333  0.58061  0.35748  0.79984      247
10.66667  0.98803  0.73786  1.20379      157
11.00000  1.47729  1.28189  1.63446      106
11.33333  1.73103  1.59943  1.85811       60
11.66667  1.98943  1.84912  2.13281       48
12.00000  2.25014  2.01352  2.39891       15
12.33333  2.46531  2.20461  2.63247        8
