# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 201744, Nsubhalos_Total = 237548
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.02749 -0.19196  0.13404    13351
 9.00000  0.19248 -0.06203  0.38776     9264
 9.33333  0.51355  0.23682  0.68770     4578
 9.66667  0.81206  0.57396  0.98351     2613
10.00000  1.06777  0.72684  1.26092     1271
10.33333  1.33895  0.66251  1.52384      561
10.66667  1.44707  0.75168  1.76862      167
11.00000  1.76463  1.04388  2.12181       38
11.33333  1.73018  1.68005  2.16499        3
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
