# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 171085, Nsubhalos_Total = 173786
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.68188 -0.87840 -0.50768     1160
 9.00000 -0.43504 -0.62281 -0.27060     1045
 9.33333 -0.21622 -0.40402 -0.04690     1005
 9.66667  0.01412 -0.21988  0.17430      730
10.00000  0.26341 -0.21184  0.45999      528
10.33333  0.47641 -0.16515  0.76022      267
10.66667  0.83000  0.18428  1.11837      131
11.00000  1.02244  0.23420  1.41624       73
11.33333  1.03707  0.40455  1.51721       37
11.66667  1.15790  0.90156  1.69358        6
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
