# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 170355, Nsubhalos_Total = 175627
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667  0.12492 -0.07510  0.36072      125
 9.00000  0.43261  0.15981  0.54252       96
 9.33333  0.63080  0.39040  0.83379      117
 9.66667  0.85557  0.54869  1.04822       94
10.00000  1.06262  0.66517  1.29077       76
10.33333  1.25942  0.50298  1.46457       36
10.66667  1.25785  0.66427  1.71911       15
11.00000  0.22461  0.22461  0.22461        1
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
