# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 177457, Nsubhalos_Total = 178780
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.74349 -0.98837 -0.54474     1142
 9.00000 -0.57324 -1.01442 -0.35989     1502
 9.33333 -0.57889 -1.04128 -0.34797      702
 9.66667 -0.71406 -1.20361 -0.14319       63
10.00000 -0.40137 -0.80879  0.17632       40
10.33333 -0.24715 -0.58749  0.42704       23
10.66667 -0.24646 -0.40961  0.40375        5
11.00000  0.29377  0.29377  0.29377        1
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
