# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 20918, Nsubhalos_Total = 22060
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.70745 -0.93087 -0.54191      127
 9.00000 -0.47694 -0.67348 -0.32473       98
 9.33333 -0.19663 -0.40278 -0.07518       97
 9.66667 -0.03295 -0.45448  0.17952       57
10.00000  0.19350  0.08146  0.43184       38
10.33333  0.53591  0.03513  0.73275       35
10.66667  0.74271 -0.14809  1.21650       14
11.00000  1.29527  0.86261  1.61961       10
11.33333  1.58157  1.28309  1.95059        4
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
