# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 187626, Nsubhalos_Total = 208579
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.32524 -0.54506 -0.12555     1238
 9.00000  0.03585 -0.12047  0.18945      799
 9.33333  0.29399  0.10825  0.47082      673
 9.66667  0.54775  0.37744  0.70402      486
10.00000  0.75262  0.41948  0.94301      423
10.33333  0.99173  0.38283  1.19552      293
10.66667  1.23114  0.41162  1.50039      137
11.00000  1.24126  0.67596  1.78612       69
11.33333  1.00728  0.58715  1.90667       16
11.66667  2.29365  1.79687  2.32212        3
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
