# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 206917, Nsubhalos_Total = 237170
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.21977 -0.56286  0.04143     1311
 9.00000 -0.05875 -1.09676  0.36906      604
 9.33333  0.20274 -0.75121  0.67558      344
 9.66667  0.41392 -0.61883  0.97615      212
10.00000  0.52127 -0.44393  1.03593      111
10.33333  0.80175 -0.14216  1.48226       52
10.66667  1.15970  0.71034  1.59417        8
11.00000      nan      nan      nan        0
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
