# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 182756, Nsubhalos_Total = 210712
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.39755 -0.58693 -0.22034    16831
 9.00000 -0.15980 -0.34174 -0.00541    19001
 9.33333  0.04032 -0.20243  0.24998    10080
 9.66667  0.34277 -0.08824  0.53138     4709
10.00000  0.58346 -0.03266  0.78434     2670
10.33333  0.78884 -0.06836  1.06847     1166
10.66667  0.64948  0.06878  1.23151      333
11.00000  0.79917  0.33039  1.14795       96
11.33333  1.10029  0.63342  1.36938       25
11.66667  1.45105  1.32913  1.78228        7
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
