# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 146752, Nsubhalos_Total = 166451
# Mstar, BH mass(median), BH mass(16%tile), BH mass(84%tile), #(gal)
 8.66667  5.17177  5.16951  9.66944     5740
 9.00000  5.18459  5.17181  9.90351    13387
 9.33333  5.26529  5.18872  9.91375    12864
 9.66667  5.55648  5.27077 10.15413     6682
10.00000  5.87182  5.39686 10.46729     3056
10.33333  6.61671  5.57678 10.81463     1145
10.66667 10.70839  5.51453 11.18233      375
11.00000 11.23030  5.75161 11.52062      129
11.33333 11.55303  5.98294 11.77320       52
11.66667 11.74965  9.95624 11.93180       22
12.00000 10.84760 10.38743 12.19311        8
12.33333 10.53903 10.08821 10.73882        3
