# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 173859, Nsubhalos_Total = 176186
 8.66667 -1.03198    12452
 9.00000 -0.96444    14547
 9.33333 -0.89923    16904
 9.66667 -1.22456     7992
10.00000 -1.51730     4073
10.33333 -1.86500     1829
10.66667 -2.33343      622
11.00000 -2.90973      165
11.33333 -3.30767       66
11.66667 -3.72928       25
12.00000 -4.17297        9
12.33333 -4.82619        2
