# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 200568, Nsubhalos_Total = 237765
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.06057 -2.15733 -1.96162    14838
 9.00000 -1.99092 -2.07867 -1.89964     9692
 9.33333 -1.91911 -2.00011 -1.83061     4654
 9.66667 -1.82356 -1.89873 -1.74090     2779
10.00000 -1.73617 -1.81534 -1.66094     1468
10.33333 -1.68417 -1.78955 -1.61156      665
10.66667 -1.63348 -1.83052 -1.56289      187
11.00000 -1.64240 -1.79042 -1.52493       47
11.33333 -1.73799 -1.75018 -1.66738        4
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
