# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 172669, Nsubhalos_Total = 159801
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.06461 -2.23277 -1.91003      134
 9.00000 -1.90968 -2.07375 -1.76164      128
 9.33333 -1.80997 -1.92595 -1.64897      121
 9.66667 -1.64812 -1.84222 -1.54190      122
10.00000 -1.62972 -1.82037 -1.51529       93
10.33333 -1.64063 -2.00921 -1.52360       54
10.66667 -1.59908 -1.67767 -1.56157       16
11.00000 -1.62683 -1.66733 -1.52762        9
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
