# z = 5.896, a = 0.145, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 148631, Nsubhalos_Total = 164589
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.33487 -2.42723 -2.24724      604
 9.00000 -2.25822 -2.34114 -2.18833      235
 9.33333 -2.17245 -2.24107 -2.09608       93
 9.66667 -2.07012 -2.12103 -2.01458       43
10.00000 -1.95539 -2.02035 -1.87876       10
10.33333 -1.82057 -1.82057 -1.82057        1
10.66667      nan      nan      nan        0
11.00000      nan      nan      nan        0
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
