# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 177457, Nsubhalos_Total = 178780
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.85484 -2.01606 -1.71057     1146
 9.00000 -1.71631 -1.87721 -1.60507     1554
 9.33333 -1.67020 -1.84806 -1.56671      774
 9.66667 -1.71104 -1.94454 -1.58256      118
10.00000 -1.59145 -1.82034 -1.46614       81
10.33333 -1.54748 -1.73483 -1.42505       57
10.66667 -1.54928 -1.64907 -1.38801       30
11.00000 -1.40645 -1.52966 -1.34126       14
11.33333 -1.43705 -1.48577 -1.31222        6
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
