# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 180022, Nsubhalos_Total = 176859
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.86794 -2.01350 -1.73011     1141
 9.00000 -1.71199 -1.81601 -1.60586      915
 9.33333 -1.62544 -1.71597 -1.52468      690
 9.66667 -1.57145 -1.65604 -1.48080      533
10.00000 -1.55518 -1.66362 -1.45367      341
10.33333 -1.56635 -1.74377 -1.48576      169
10.66667 -1.55793 -1.68715 -1.44848       89
11.00000 -1.46297 -1.65814 -1.38049       57
11.33333 -1.42584 -1.51690 -1.37049       17
11.66667 -1.39145 -1.50158 -1.34400        9
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
