# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 162671, Nsubhalos_Total = 134965
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.76318 -1.93633 -1.60180      123
 9.00000 -1.64966 -1.81097 -1.50491       96
 9.33333 -1.61971 -1.76180 -1.45511       71
 9.66667 -1.54585 -1.75519 -1.43043       94
10.00000 -1.57027 -1.72182 -1.44207       59
10.33333 -1.66943 -1.87768 -1.52334       47
10.66667 -1.60366 -1.74768 -1.41605       25
11.00000 -1.61561 -1.69672 -1.54921        8
11.33333 -1.55386 -1.72737 -1.42772        7
11.66667 -1.60411 -1.66354 -1.54468        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
