# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 169733, Nsubhalos_Total = 174524
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.85646 -2.01613 -1.73018     1074
 9.00000 -1.69395 -1.80319 -1.58502      930
 9.33333 -1.60952 -1.69094 -1.52483      762
 9.66667 -1.54470 -1.62495 -1.47159      549
10.00000 -1.49820 -1.56971 -1.41695      391
10.33333 -1.47807 -1.55864 -1.41146      242
10.66667 -1.50584 -1.63450 -1.40778      145
11.00000 -1.52175 -1.66686 -1.42073       91
11.33333 -1.50194 -1.64127 -1.37819       43
11.66667 -1.47253 -1.66517 -1.35026       16
12.00000 -1.36068 -1.46379 -1.34084        4
12.33333      nan      nan      nan        0
