# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 191613, Nsubhalos_Total = 209117
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.35109 -2.59038 -2.12406     1244
 9.00000 -2.07342 -2.23143 -1.93360      748
 9.33333 -1.93782 -2.07076 -1.81070      535
 9.66667 -1.80632 -1.91551 -1.70560      436
10.00000 -1.69146 -1.79380 -1.61030      395
10.33333 -1.66072 -1.90905 -1.55226      293
10.66667 -1.77191 -2.17215 -1.59429      142
11.00000 -1.65866 -1.84655 -1.51112       56
11.33333 -1.56650 -1.66879 -1.50005        9
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
