# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 171085, Nsubhalos_Total = 173786
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.74673 -1.86110 -1.61284     1161
 9.00000 -1.62446 -1.72143 -1.51522     1046
 9.33333 -1.55088 -1.63474 -1.45659     1009
 9.66667 -1.52000 -1.58386 -1.43351      736
10.00000 -1.49190 -1.55287 -1.38807      553
10.33333 -1.49195 -1.58107 -1.38114      310
10.66667 -1.52177 -1.60484 -1.39832      175
11.00000 -1.49558 -1.61229 -1.38056      111
11.33333 -1.44005 -1.61906 -1.37782       54
11.66667 -1.36218 -1.55084 -1.31088       16
12.00000 -1.43747 -1.43747 -1.43747        1
12.33333      nan      nan      nan        0
