# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 192413, Nsubhalos_Total = 211390
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.29145 -2.51522 -2.10989     1654
 9.00000 -2.22249 -2.43515 -2.02565     1387
 9.33333 -2.23398 -2.60932 -1.98293      337
 9.66667 -2.12186 -2.52120 -1.85375      207
10.00000 -1.94508 -2.42562 -1.73696      128
10.33333 -1.90430 -2.43889 -1.60455       60
10.66667 -1.75706 -1.89193 -1.59647       26
11.00000 -1.61786 -1.70937 -1.54884        8
11.33333 -1.64615 -1.64615 -1.64615        1
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
