# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 201744, Nsubhalos_Total = 237548
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.25039 -2.36411 -2.13978    13357
 9.00000 -2.15178 -2.25114 -2.05194     9268
 9.33333 -2.06580 -2.15763 -1.97473     4585
 9.66667 -1.96686 -2.05240 -1.88359     2627
10.00000 -1.88166 -1.96261 -1.80049     1282
10.33333 -1.80535 -1.92643 -1.73407      574
10.66667 -1.77038 -1.93059 -1.69700      168
11.00000 -1.71993 -1.96111 -1.65321       38
11.33333 -1.71596 -1.88427 -1.69423        3
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
