# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 204866, Nsubhalos_Total = 236095
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.70405 -2.90344 -2.52483     1011
 9.00000 -2.41918 -2.57999 -2.26912      536
 9.33333 -2.21716 -2.33488 -2.08658      407
 9.66667 -2.05131 -2.15802 -1.94511      354
10.00000 -1.91279 -2.01849 -1.82903      272
10.33333 -1.81532 -1.91420 -1.72346      159
10.66667 -1.75939 -1.89591 -1.67852       79
11.00000 -1.78655 -1.99627 -1.65745       26
11.33333 -1.65226 -1.93637 -1.56145        5
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
