# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 197862, Nsubhalos_Total = 236708
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.06051 -2.15604 -1.95907    12927
 9.00000 -1.98373 -2.08396 -1.89035     9274
 9.33333 -1.93074 -2.11734 -1.83006     5380
 9.66667 -1.84854 -2.11117 -1.75024     2932
10.00000 -1.79195 -2.06094 -1.68631     1338
10.33333 -1.77589 -1.95910 -1.66376      573
10.66667 -1.78191 -1.89399 -1.65541      152
11.00000 -1.74724 -1.84340 -1.66370       24
11.33333 -1.73797 -1.84038 -1.63463        4
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
