# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 205987, Nsubhalos_Total = 236266
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.87401 -3.08667 -2.65373     1043
 9.00000 -2.53880 -2.72238 -2.36029      479
 9.33333 -2.26832 -2.41294 -2.14686      313
 9.66667 -2.10643 -2.21940 -1.98089      298
10.00000 -1.93164 -2.01797 -1.81671      231
10.33333 -1.81254 -1.89471 -1.73269      166
10.66667 -1.74170 -1.82634 -1.67166       80
11.00000 -1.68080 -2.26883 -1.62952       29
11.33333 -1.84665 -2.11354 -1.65941        3
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
