# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 23258, Nsubhalos_Total = 26520
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.34676 -2.53147 -2.13130      152
 9.00000 -2.03428 -2.22541 -1.91503       89
 9.33333 -1.95086 -2.03534 -1.79814       61
 9.66667 -1.78285 -1.86842 -1.67030       77
10.00000 -1.68397 -1.77761 -1.59517       55
10.33333 -1.63070 -1.70033 -1.52179       34
10.66667 -1.52885 -1.66889 -1.49685       21
11.00000 -1.54285 -1.57873 -1.46082       16
11.33333 -1.45982 -1.45982 -1.45982        1
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
