# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 3192, Nsubhalos_Total = 3914
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.49403 -2.73979 -2.15712      131
 9.00000 -2.05203 -2.24485 -1.91502      110
 9.33333 -1.85626 -1.98326 -1.73476       91
 9.66667 -1.70947 -1.80252 -1.61042       74
10.00000 -1.66479 -1.73088 -1.53859       48
10.33333 -1.57624 -1.64594 -1.48529       45
10.66667 -1.52041 -1.60277 -1.46891       32
11.00000 -1.45867 -1.50685 -1.42433       23
11.33333 -1.49364 -1.54347 -1.41747       12
11.66667 -1.47819 -1.62339 -1.39309        4
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
