# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 184955, Nsubhalos_Total = 211626
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.95152 -2.07445 -1.82887    14646
 9.00000 -1.82642 -1.93279 -1.72984    17294
 9.33333 -1.75940 -1.85087 -1.67377     9499
 9.66667 -1.68555 -1.77199 -1.60740     4335
10.00000 -1.61800 -1.70918 -1.54369     2237
10.33333 -1.57867 -1.71773 -1.50179      927
10.66667 -1.60759 -1.74072 -1.48683      322
11.00000 -1.61906 -1.69962 -1.52600       79
11.33333 -1.60461 -1.62797 -1.55373       23
11.66667 -1.54978 -1.59546 -1.54774        5
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
