# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 25938, Nsubhalos_Total = 30066
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.74000 -2.90617 -2.51672      119
 9.00000 -2.41888 -2.57414 -2.28953       74
 9.33333 -2.23497 -2.33800 -2.11749       43
 9.66667 -2.09350 -2.19413 -1.98592       46
10.00000 -1.90016 -1.98076 -1.78549       27
10.33333 -1.79216 -1.86441 -1.71227       21
10.66667 -1.74573 -1.77114 -1.64037        9
11.00000 -1.59918 -1.63967 -1.59459        3
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
