# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 173489, Nsubhalos_Total = 177517
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.63590 -1.75504 -1.52256     7699
 9.00000 -1.52949 -1.62682 -1.44338    11072
 9.33333 -1.47404 -1.55070 -1.40804    11005
 9.66667 -1.44224 -1.50536 -1.38008     4667
10.00000 -1.40352 -1.45947 -1.34540     1954
10.33333 -1.37083 -1.42912 -1.32087      829
10.66667 -1.37052 -1.43245 -1.31048      308
11.00000 -1.37176 -1.42436 -1.32521      115
11.33333 -1.36824 -1.40092 -1.33207       59
11.66667 -1.35283 -1.36973 -1.32175       16
12.00000 -1.34564 -1.37460 -1.33315       10
12.33333      nan      nan      nan        0
