# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 205608, Nsubhalos_Total = 236230
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.69083 -2.89163 -2.51892     1004
 9.00000 -2.41576 -2.56349 -2.27579      533
 9.33333 -2.20557 -2.32605 -2.07071      420
 9.66667 -2.04352 -2.14241 -1.93871      357
10.00000 -1.89876 -1.99253 -1.81671      252
10.33333 -1.79830 -1.87181 -1.71632      171
10.66667 -1.74028 -1.80520 -1.66977       72
11.00000 -1.69305 -1.87850 -1.60494       32
11.33333 -1.57771 -1.83149 -1.57299        5
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
