# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 183752, Nsubhalos_Total = 207404
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.29347 -2.52230 -2.11592     1202
 9.00000 -2.04024 -2.19082 -1.90575      790
 9.33333 -1.90944 -2.04788 -1.79356      674
 9.66667 -1.79353 -1.92574 -1.67661      512
10.00000 -1.68437 -1.85118 -1.58577      420
10.33333 -1.60187 -1.90382 -1.51826      275
10.66667 -1.65472 -1.90667 -1.50947      146
11.00000 -1.70333 -1.88578 -1.50457       70
11.33333 -1.73460 -1.93656 -1.49732       34
11.66667 -1.57443 -1.57443 -1.57443        1
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
