# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 20918, Nsubhalos_Total = 22060
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.83338 -2.01543 -1.71774      128
 9.00000 -1.72662 -1.81345 -1.65017       98
 9.33333 -1.61663 -1.70494 -1.54706       97
 9.66667 -1.54511 -1.65317 -1.45246       57
10.00000 -1.50009 -1.59277 -1.42696       43
10.33333 -1.48624 -1.56380 -1.41182       38
10.66667 -1.50138 -1.65197 -1.40215       22
11.00000 -1.61004 -1.69636 -1.40060       16
11.33333 -1.48567 -1.51770 -1.41394       10
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
