# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 182756, Nsubhalos_Total = 210712
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.81546 -1.92848 -1.69796    16846
 9.00000 -1.72939 -1.83164 -1.62895    19040
 9.33333 -1.67890 -1.76874 -1.58562    10117
 9.66667 -1.62208 -1.70342 -1.53548     4772
10.00000 -1.55936 -1.63786 -1.48137     2779
10.33333 -1.51650 -1.62196 -1.45042     1262
10.66667 -1.51362 -1.64547 -1.42757      393
11.00000 -1.51489 -1.58229 -1.44078      106
11.33333 -1.50513 -1.53279 -1.44835       25
11.66667 -1.46465 -1.51112 -1.44317        7
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
