# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 187217, Nsubhalos_Total = 207534
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.10436 -2.25536 -1.96452     1313
 9.00000 -1.92536 -2.04109 -1.81609     1134
 9.33333 -1.82271 -1.92196 -1.72271      888
 9.66667 -1.72176 -1.81053 -1.63662      643
10.00000 -1.63208 -1.72225 -1.54657      504
10.33333 -1.58004 -1.68499 -1.50800      345
10.66667 -1.56001 -1.72556 -1.50492      179
11.00000 -1.54765 -1.73856 -1.48016       81
11.33333 -1.54128 -1.62604 -1.46234       36
11.66667 -1.47979 -1.48676 -1.47281        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
