# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 187626, Nsubhalos_Total = 208579
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.28285 -2.51351 -2.09402     1240
 9.00000 -2.04380 -2.18902 -1.91915      799
 9.33333 -1.89947 -2.01912 -1.77609      676
 9.66667 -1.78687 -1.87763 -1.68585      491
10.00000 -1.66167 -1.76601 -1.57511      433
10.33333 -1.58667 -1.68467 -1.50323      305
10.66667 -1.54907 -1.77627 -1.46591      153
11.00000 -1.53662 -1.66599 -1.45693       83
11.33333 -1.54301 -1.67697 -1.46221       20
11.66667 -1.52031 -1.52718 -1.42289        3
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
