# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 162216, Nsubhalos_Total = 172024
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.85657 -1.99786 -1.71638     1095
 9.00000 -1.70595 -1.80273 -1.60192      886
 9.33333 -1.62117 -1.72507 -1.53878      725
 9.66667 -1.58122 -1.70524 -1.49254      499
10.00000 -1.53571 -1.80008 -1.44633      357
10.33333 -1.54799 -2.06822 -1.45635      237
10.66667 -1.81042 -2.07149 -1.52552      144
11.00000 -1.80777 -1.94978 -1.57457       95
11.33333 -1.74401 -1.91214 -1.55185       46
11.66667 -1.69509 -1.80564 -1.54556       25
12.00000 -1.58364 -1.61126 -1.40155        7
12.33333      nan      nan      nan        0
