# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 4048, Nsubhalos_Total = 4979
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.86336 -3.13267 -2.56622      239
 9.00000 -2.52812 -2.75533 -2.34292      138
 9.33333 -2.23562 -2.39338 -2.13032       75
 9.66667 -2.05123 -2.18908 -1.91456       55
10.00000 -1.92379 -2.00118 -1.82582       47
10.33333 -1.78899 -1.83993 -1.69201       28
10.66667 -1.69651 -1.76045 -1.60098       21
11.00000 -1.58988 -1.67814 -1.52725       15
11.33333 -1.52904 -1.56176 -1.49827        5
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
