# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 4664, Nsubhalos_Total = 5595
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -3.16549 -3.41815 -2.92665      185
 9.00000 -2.86121 -3.06493 -2.63978       91
 9.33333 -2.59075 -2.79900 -2.43699       44
 9.66667 -2.37372 -2.49720 -2.25574       21
10.00000 -2.18312 -2.30771 -2.10113       20
10.33333 -2.03322 -2.08661 -1.93743       16
10.66667 -1.90286 -1.96901 -1.88275        4
11.00000 -1.77946 -1.78538 -1.77922        3
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
