# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 184448, Nsubhalos_Total = 207815
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.36637 -2.62015 -2.14893     1297
 9.00000 -2.08288 -2.25833 -1.94054      716
 9.33333 -1.94570 -2.06561 -1.81570      543
 9.66667 -1.78831 -1.88600 -1.68504      422
10.00000 -1.66041 -1.76300 -1.57194      386
10.33333 -1.57130 -1.66106 -1.49372      281
10.66667 -1.52750 -1.60511 -1.46070      163
11.00000 -1.50437 -1.54794 -1.43653       87
11.33333 -1.54129 -1.57986 -1.45569       38
11.66667 -1.51671 -1.60845 -1.48201       16
12.00000 -1.50207 -1.54992 -1.50121        3
12.33333      nan      nan      nan        0
